pair,direction,entry_time,exit_time,entry_price,exit_price,size,pips,pnl,reason
EURUSD,LONG,2023-02-28 13:00:00,2023-02-28 17:00:00,1.06091,1.06053,0.1,-5.30000000000047,-6.00000000000047,SL/TP
EURUSD,LONG,2023-04-24 14:00:00,2023-04-24 20:00:00,1.10026,1.1044100000000001,0.1,40.00000000000098,39.300000000000985,SL/TP
EURUSD,LONG,2023-05-26 15:00:00,2023-05-26 16:00:00,1.07422,1.07229,0.1,-20.799999999999873,-21.499999999999872,SL/TP
EURUSD,LONG,2023-09-19 15:00:00,2023-09-19 18:00:00,1.06995,1.06832,0.1,-17.800000000000203,-18.500000000000203,SL/TP
EURUSD,SHORT,2024-01-12 15:00:00,2024-01-12 16:00:00,1.09555,1.09756,0.1,-21.600000000000673,-22.300000000000672,SL/TP
EURUSD,LONG,2024-02-07 15:00:00,2024-02-07 17:00:00,1.07703,1.07568,0.1,-14.999999999999623,-15.699999999999624,SL/TP
EURUSD,LONG,2024-03-26 15:00:00,2024-03-26 17:00:00,1.08521,1.08411,0.1,-12.500000000001009,-13.20000000000101,SL/TP
EURUSD,LONG,2024-04-30 15:00:00,2024-04-30 18:00:00,1.07005,1.06839,0.1,-18.099999999999948,-18.799999999999947,SL/TP
EURUSD,SHORT,2024-06-05 15:00:00,2024-06-05 18:00:00,1.08841,1.08649,0.1,17.700000000001438,17.00000000000144,SL/TP
EURUSD,LONG,2024-06-19 15:00:00,2024-06-20 05:00:00,1.0746,1.07395,0.1,-8.000000000000394,-8.700000000000394,SL/TP
EURUSD,SHORT,2024-09-03 15:00:00,2024-09-03 16:00:00,1.1048,1.10615,0.1,-14.999999999999623,-15.699999999999624,SL/TP
EURUSD,LONG,2024-10-24 15:00:00,2024-10-24 21:00:00,1.07966,1.08229,0.1,24.799999999999102,24.099999999999103,SL/TP
EURUSD,LONG,2024-10-28 15:00:00,2024-10-28 21:00:00,1.08155,1.0812,0.1,-5.000000000000725,-5.700000000000725,SL/TP
EURUSD,SHORT,2024-11-14 14:00:00,2024-11-14 16:00:00,1.05358,1.05527,0.1,-18.399999999999693,-19.099999999999692,SL/TP
EURUSD,LONG,2025-01-10 14:00:00,2025-01-10 15:00:00,1.03055,1.02565,0.1,-50.500000000001265,-51.20000000000127,SL/TP
EURUSD,SHORT,2025-02-19 15:00:00,2025-02-19 18:00:00,1.0434,1.04048,0.1,27.700000000000337,27.000000000000338,SL/TP
EURUSD,SHORT,2025-05-08 14:00:00,2025-05-08 18:00:00,1.12961,1.12485,0.1,46.100000000000975,45.40000000000098,SL/TP
EURUSD,SHORT,2025-06-23 14:00:00,2025-06-23 17:00:00,1.14727,1.15309,0.1,-59.69999999999936,-60.399999999999366,SL/TP
EURUSD,LONG,2025-06-26 14:00:00,2025-06-26 23:00:00,1.16948,1.17013,0.1,4.999999999998174,4.299999999998174,SL/TP
EURUSD,SHORT,2025-06-27 13:00:00,2025-06-27 15:00:00,1.17138,1.1747,0.1,-34.699999999999896,-35.399999999999906,SL/TP
EURUSD,LONG,2025-08-13 15:00:00,2025-08-13 21:00:00,1.16991,1.1700599999999999,0.1,-1.2754242106893798e-12,-0.7000000000012755,SL/TP
EURUSD,SHORT,2025-10-09 13:00:00,2025-10-09 17:00:00,1.16186,1.15811,0.1,35.9999999999992,35.299999999999194,SL/TP
GBPUSD,SHORT,2023-05-11 15:00:00,2023-05-11 16:00:00,1.25858,1.25087,0.1,75.60000000000105,74.90000000000104,SL/TP
GBPUSD,SHORT,2023-05-17 14:00:00,2023-05-17 19:00:00,1.24606,1.25045,0.1,-45.40000000000116,-46.10000000000116,SL/TP
GBPUSD,LONG,2023-07-11 15:00:00,2023-07-12 03:00:00,1.28968,1.29468,0.1,48.50000000000115,47.80000000000115,SL/TP
GBPUSD,SHORT,2023-07-17 14:00:00,2023-07-18 05:00:00,1.3084799999999999,1.30887,0.1,-5.400000000001125,-6.100000000001125,SL/TP
GBPUSD,SHORT,2023-08-03 15:00:00,2023-08-03 17:00:00,1.26727,1.26942,0.1,-23.000000000000963,-23.700000000000962,SL/TP
GBPUSD,LONG,2023-08-15 13:00:00,2023-08-15 21:00:00,1.271,1.27055,0.1,-5.999999999998394,-6.699999999998394,SL/TP
