year_month,sentiment_ewma,ma_30,ma_90,volatility,momentum,date
1999-08,-0.32153892480194046,-0.3009307960910201,-0.290799162036685,0.011666081385784108,-0.03865731784091805,1999-08-01
1999-09,-0.34820924751162813,-0.34010020946285896,-0.3071189036774086,0.00852299238698771,-0.02589767497854676,1999-09-01
1999-10,-0.35586975400095905,-0.35006237764628567,-0.33088939281144497,0.003329052715547626,-0.007702680958802888,1999-10-01
1999-11,-0.3570695484049632,-0.36020172832373537,-0.3504122664188353,0.004142889862463504,-0.0009008639025720652,1999-11-01
1999-12,-0.27877593958732383,-0.32238590438425296,-0.3442641779796963,0.024668340773710804,0.07757467079685701,1999-12-01
2000-01,-0.23355110008051314,-0.24577620334659234,-0.3085056964066145,0.012539261525161997,0.04210179512472625,2000-01-01
2000-02,-0.21713047239492614,-0.23174536696075984,-0.2656949424500625,0.008083002270610555,0.01610507367994526,2000-02-01
2000-03,-0.10203981866080858,-0.16032200130965285,-0.2124567130881811,0.035089671680249165,0.1141085391999954,2000-03-01
2000-04,-0.007831669228081227,-0.04933830146198177,-0.14634163029245253,0.026330943156679196,0.09209180266063693,2000-04-01
2000-05,0.09124304839605359,0.04390034580493483,-0.05349197521592469,0.029749174457839714,0.09742392895444654,2000-05-01
2000-06,0.10823906183629176,0.11187893039515796,0.037034913099437024,0.012247120100673987,0.015399337811444898,2000-06-01
2000-07,0.019977847859667396,0.06691259254675438,0.07525205057863163,0.026389671377883412,-0.08712859203720733,2000-07-01
2000-08,-0.09804284784323546,-0.04257165254126522,0.044460214772544096,0.03371620162358366,-0.11435364909137673,2000-08-01
2000-09,-0.16752870177730556,-0.1465111956813551,-0.04280052737917859,0.02398036881897392,-0.06756944778072713,2000-09-01
2000-10,-0.08986378168178012,-0.12928247533538717,-0.10760981169860824,0.025621793383431596,0.07648937685571945,2000-10-01
2000-11,-0.07715128915435031,-0.07639612189518609,-0.11768056075821651,0.006026466441339305,0.011338389872045164,2000-11-01
2000-12,-0.0755525723474333,-0.07891166860454886,-0.09401641613460834,0.005168788632949479,0.0018856448345449827,2000-12-01
2001-01,-0.10014210581694759,-0.08245198425266513,-0.07914560533151453,0.009009020459879159,-0.024911558674459156,2001-01-01
2001-02,-0.1657946901814478,-0.13334634777057128,-0.09797727801932994,0.020675717113741887,-0.06699319219933557,2001-02-01
2001-03,-0.17625756124083056,-0.175714188110628,-0.12985215950421133,0.005652281240134942,-0.012274861670156815,2001-03-01
2001-04,-0.17076172887523988,-0.1712586616905453,-0.16021713503530463,0.004393541218186003,0.005394007692230301,2001-04-01
2001-05,-0.19889141669373717,-0.18497207537667268,-0.1774300759002742,0.008663519578560597,-0.027697404769676262,2001-05-01
2001-06,-0.20185231122310857,-0.2061051615518314,-0.1875475995159074,0.006654083601844266,-0.0024699307525365226,2001-06-01
2001-07,-0.14834658484882807,-0.17438773888392362,-0.18873995210501765,0.016512649126482495,0.05258667122838996,2001-07-01
2001-08,-0.13434104533597224,-0.13455155254806547,-0.1710270786731233,0.007120524364686008,0.01254081559939452,2001-08-01
2001-09,-0.17720983724884992,-0.15419998504716154,-0.15336772176551786,0.013137727198078307,-0.04265592908111868,2001-09-01
2001-10,-0.20645262661993063,-0.19607111616563166,-0.1617574442738452,0.008239990025233908,-0.028488209528418573,2001-10-01
2001-11,-0.22659352660533313,-0.21573537727813663,-0.18934359048323113,0.006299130245335411,-0.01994587284378403,2001-11-01
2001-12,-0.19978459447997682,-0.22003931633570067,-0.21104201862156483,0.012407055793815316,0.026997416881235123,2001-12-01
2002-01,-0.18382087462752197,-0.1830091389873734,-0.20628108620753163,0.008814014810688497,0.014096937896323101,2002-01-01
2002-02,-0.2235307539909764,-0.20232107660032836,-0.20168555430367235,0.012208238754749051,-0.04059600362113241,2002-02-01
2002-03,-0.2733588901543436,-0.24848479960175893,-0.2112564646245659,0.014871419828574985,-0.050492958806757596,2002-03-01
2002-04,-0.33150122648398345,-0.3033437860074807,-0.2516940208076667,0.016937571590868082,-0.057306205668754,2002-04-01
2002-05,-0.38198420355652646,-0.3601809980622898,-0.3048897803960528,0.014616620353344953,-0.04951453140480124,2002-05-01
2002-06,-0.4128704067342141,-0.398374613402168,-0.35490217719035794,0.008699823245713794,-0.03020416446526938,2002-06-01
2002-07,-0.43134156218596864,-0.4263688814132832,-0.3956833442937343,0.007188071348404438,-0.01795452155856351,2002-07-01
2002-08,-0.34375821870649254,-0.3954750613047758,-0.40742155109579903,0.027459275678407537,0.086921750495086,2002-08-01
2002-09,-0.22932921615873256,-0.2784132398757889,-0.3666749414839811,0.033378957154867814,0.11227505400774164,2002-09-01
2002-10,-0.20675950222030945,-0.20983724464802084,-0.29301668436566564,0.008579139549987513,0.021696083793652364,2002-10-01
2002-11,-0.2441130750016257,-0.22369586840820668,-0.23590030954457364,0.01141887415738817,-0.037203145429667274,2002-11-01
2002-12,-0.26435940483780657,-0.26188628722519197,-0.2318336693747263,0.010257578743512045,-0.019495541633702568,2002-12-01
2003-01,-0.16096509967710942,-0.21784693840324465,-0.23532266772540675,0.03169538633886165,0.10198859589955692,2003-01-01
2003-02,-0.004723449796953714,-0.08365899927877829,-0.18895264113069343,0.04788089147397791,0.15903397931859403,2003-02-01
